n,elapsed_time,FLOPs
984,190706,6.50214e+08
985,190090,6.53647e+08
986,191366,6.50608e+08
987,190084,6.56325e+08
988,191998,6.51099e+08
989,192098,6.52078e+08
990,191871,6.5417e+08
991,193278,6.5072e+08
992,191841,6.56917e+08
993,193437,6.52811e+08
994,192979,6.55679e+08
995,192987,6.56971e+08
996,193597,6.56218e+08
997,194623,6.54069e+08
998,194346,6.56316e+08
999,199068,6.42032e+08
1000,195829,6.53958e+08
1001,197492,6.49749e+08
1002,200774,6.40405e+08
1003,199525,6.457e+08
1004,196389,6.57319e+08
1005,197382,6.55316e+08
1006,197415,6.5651e+08
1007,198224,6.55131e+08
1008,198339,6.56052e+08
1009,201115,6.48281e+08
1010,199344,6.55337e+08
1011,199024,6.5769e+08
1012,199484,6.57472e+08
1013,199640,6.58257e+08
1014,202148,6.51374e+08
1015,201165,6.55848e+08
1016,201074,6.57439e+08
1017,201381,6.57729e+08
1018,203137,6.53326e+08
1019,202937,6.55255e+08
1020,203344,6.55227e+08
1021,207344,6.43847e+08
1022,204202,6.55035e+08
1023,206421,6.49261e+08
1024,209042,6.42375e+08
